"democracy_type","model_number","effect_name","control_set","control_variable","estimate","std_error","p_value","nobs","signif_0_05","signif_0_10"
"V-Dem","M3","DC_Mand_Revise2","","v2xnp_regcorr",0.728257053040025,0.908872594423489,0.423709960885226,267,FALSE,FALSE
"V-Dem","M3","v2xnp_regcorr","","v2xnp_regcorr",0.20430249568759,0.256955343732416,0.427292692227164,267,FALSE,FALSE
"V-Dem","M3","DC_Mand_Revise2:v2xnp_regcorr","","v2xnp_regcorr",1.16107052419178,1.1637752129621,0.319371440045153,267,FALSE,FALSE
"V-Dem","M2","DC_Mand_Revise2","+debt+partisan_cons+factor(period_dummies72)","v2xnp_regcorr",-0.102084201863284,0.993263083755802,0.918744081999549,107,FALSE,FALSE
"V-Dem","M2","v2xnp_regcorr","+debt+partisan_cons+factor(period_dummies72)","v2xnp_regcorr",-0.496282387485119,0.600084337691175,0.413991889872592,107,FALSE,FALSE
"V-Dem","M2","DC_Mand_Revise2:v2xnp_regcorr","+debt+partisan_cons+factor(period_dummies72)","v2xnp_regcorr",3.76513860683622,1.80035222929049,0.0440423164098039,107,TRUE,TRUE
"V-Dem","M4","DC_Mand_Revise2","+debt+partisan_cons+factor(period_dummies72)","v2xnp_regcorr",0.371354931083888,0.895048052584268,0.678571912912467,267,FALSE,FALSE
"V-Dem","M4","v2xnp_regcorr","+debt+partisan_cons+factor(period_dummies72)","v2xnp_regcorr",-0.169468615157067,0.287210987459037,0.555694868526728,267,FALSE,FALSE
"V-Dem","M4","DC_Mand_Revise2:v2xnp_regcorr","+debt+partisan_cons+factor(period_dummies72)","v2xnp_regcorr",1.52958649901914,1.15255876064443,0.185681764855727,267,FALSE,FALSE
"V-Dem","M1","DC_Mand_Revise2","","v2x_corr",0.903448182666099,1.01173321884371,0.374105854804023,255,FALSE,FALSE
"V-Dem","M1","v2x_corr","","v2x_corr",0.24384167632034,0.276573048895238,0.380166202375525,255,FALSE,FALSE
"V-Dem","M1","DC_Mand_Revise2:v2x_corr","","v2x_corr",0.854411997733517,1.29933735395995,0.512384763609287,255,FALSE,FALSE
"V-Dem","M3","DC_Mand_Revise2","","v2x_corr",1.00554763011624,0.981832882609302,0.306722425061636,267,FALSE,FALSE
"V-Dem","M3","v2x_corr","","v2x_corr",0.266923695726051,0.265575250407244,0.315801975521997,267,FALSE,FALSE
"V-Dem","M3","DC_Mand_Revise2:v2x_corr","","v2x_corr",0.776087326989621,1.26361279568976,0.539636833037583,267,FALSE,FALSE
"V-Dem","M2","DC_Mand_Revise2","+debt+partisan_cons+factor(period_dummies72)","v2x_corr",0.820333060727355,0.678142596896751,0.234747124070972,107,FALSE,FALSE
"V-Dem","M2","v2x_corr","+debt+partisan_cons+factor(period_dummies72)","v2x_corr",-0.219442578759247,0.618950301667503,0.725123942680282,107,FALSE,FALSE
"V-Dem","M2","DC_Mand_Revise2:v2x_corr","+debt+partisan_cons+factor(period_dummies72)","v2x_corr",2.71122125392062,1.23524564990988,0.0350991181491549,107,TRUE,TRUE
"V-Dem","M4","DC_Mand_Revise2","+debt+partisan_cons+factor(period_dummies72)","v2x_corr",0.680718964825298,0.973055465050253,0.484847408199816,267,FALSE,FALSE
"V-Dem","M4","v2x_corr","+debt+partisan_cons+factor(period_dummies72)","v2x_corr",-0.0627722946519711,0.294842665668738,0.831579153710943,267,FALSE,FALSE
"V-Dem","M4","DC_Mand_Revise2:v2x_corr","+debt+partisan_cons+factor(period_dummies72)","v2x_corr",1.1110652435328,1.26363878338921,0.380106206414513,267,FALSE,FALSE
"V-Dem","M1","DC_Mand_Revise2","","v2x_execorr",0.48894853053811,0.833458486285584,0.558815719873353,256,FALSE,FALSE
"V-Dem","M1","v2x_execorr","","v2x_execorr",0.144869541215096,0.267122380227882,0.588845207641305,256,FALSE,FALSE
"V-Dem","M1","DC_Mand_Revise2:v2x_execorr","","v2x_execorr",1.46217320257519,1.0929097871908,0.184098869856698,256,FALSE,FALSE
"V-Dem","M3","DC_Mand_Revise2","","v2x_execorr",0.568605201320865,0.799031435377631,0.477344487550525,267,FALSE,FALSE
"V-Dem","M3","v2x_execorr","","v2x_execorr",0.146176892819019,0.259757057526251,0.574097660289399,267,FALSE,FALSE
"V-Dem","M3","DC_Mand_Revise2:v2x_execorr","","v2x_execorr",1.41347269667619,1.05419017911005,0.181160336949485,267,FALSE,FALSE
"V-Dem","M2","DC_Mand_Revise2","+debt+partisan_cons+factor(period_dummies72)","v2x_execorr",-0.915057918146058,1.36398378257853,0.506834529304966,107,FALSE,FALSE
"V-Dem","M2","v2x_execorr","+debt+partisan_cons+factor(period_dummies72)","v2x_execorr",-0.693393281490249,0.639351194500328,0.285762083888568,107,FALSE,FALSE
"V-Dem","M2","DC_Mand_Revise2:v2x_execorr","+debt+partisan_cons+factor(period_dummies72)","v2x_execorr",4.89707230708835,2.22717403110148,0.0347965066318286,107,TRUE,TRUE
"V-Dem","M4","DC_Mand_Revise2","+debt+partisan_cons+factor(period_dummies72)","v2x_execorr",0.194958769648108,0.784454617914094,0.803930704441245,267,FALSE,FALSE
"V-Dem","M4","v2x_execorr","+debt+partisan_cons+factor(period_dummies72)","v2x_execorr",-0.26217612999264,0.286275516398019,0.360651529498867,267,FALSE,FALSE
"V-Dem","M4","DC_Mand_Revise2:v2x_execorr","+debt+partisan_cons+factor(period_dummies72)","v2x_execorr",1.79427434308852,1.04147917498935,0.0861632959721723,267,FALSE,TRUE
"V-Dem","M1","DC_Mand_Revise2","","v2x_pubcorr",1.01918964760901,0.820184463905593,0.217029206414017,255,FALSE,FALSE
"V-Dem","M1","v2x_pubcorr","","v2x_pubcorr",0.186164840730173,0.27782844648337,0.504421056108757,255,FALSE,FALSE
"V-Dem","M1","DC_Mand_Revise2:v2x_pubcorr","","v2x_pubcorr",0.769426164137521,1.1131807209081,0.491110389087382,255,FALSE,FALSE
"V-Dem","M3","DC_Mand_Revise2","","v2x_pubcorr",1.12259979264901,0.794433343133189,0.158837161203895,267,FALSE,FALSE
"V-Dem","M3","v2x_pubcorr","","v2x_pubcorr",0.241884165445058,0.266578887512125,0.365061527774311,267,FALSE,FALSE
"V-Dem","M3","DC_Mand_Revise2:v2x_pubcorr","","v2x_pubcorr",0.674329033253269,1.08321259023368,0.534145287456387,267,FALSE,FALSE
"V-Dem","M2","DC_Mand_Revise2","+debt+partisan_cons+factor(period_dummies72)","v2x_pubcorr",0.831326368241367,0.652810626812469,0.211493588798768,107,FALSE,FALSE
"V-Dem","M2","v2x_pubcorr","+debt+partisan_cons+factor(period_dummies72)","v2x_pubcorr",-0.701906629659269,0.666497879515625,0.29971008812839,107,FALSE,FALSE
"V-Dem","M2","DC_Mand_Revise2:v2x_pubcorr","+debt+partisan_cons+factor(period_dummies72)","v2x_pubcorr",3.35764256101185,1.40999182180088,0.0229933239195568,107,TRUE,TRUE
"V-Dem","M4","DC_Mand_Revise2","+debt+partisan_cons+factor(period_dummies72)","v2x_pubcorr",0.852483858380166,0.794940716259431,0.284580899040103,267,FALSE,FALSE
"V-Dem","M4","v2x_pubcorr","+debt+partisan_cons+factor(period_dummies72)","v2x_pubcorr",-0.0578045196519968,0.278484501155561,0.83573606066292,267,FALSE,FALSE
"V-Dem","M4","DC_Mand_Revise2:v2x_pubcorr","+debt+partisan_cons+factor(period_dummies72)","v2x_pubcorr",0.924858774116931,1.09572967686762,0.399445410630806,267,FALSE,FALSE
"POLITY","M1","DC_Mand_Revise2","","v2xnp_client",0.429120334050717,1.05009681368425,0.683671530024705,245,FALSE,FALSE
"POLITY","M1","v2xnp_client","","v2xnp_client",-0.15541012468335,0.280398981630888,0.58064761053594,245,FALSE,FALSE
"POLITY","M1","DC_Mand_Revise2:v2xnp_client","","v2xnp_client",1.60500949787008,1.53888261256965,0.299476698991812,245,FALSE,FALSE
"POLITY","M3","DC_Mand_Revise2","","v2xnp_client",0.434982558650586,1.04579945982463,0.677823069639906,254,FALSE,FALSE
"POLITY","M3","v2xnp_client","","v2xnp_client",-0.180936692488526,0.27527682012294,0.511613278066018,254,FALSE,FALSE
"POLITY","M3","DC_Mand_Revise2:v2xnp_client","","v2xnp_client",1.63020910195055,1.53556338786655,0.289446396160303,254,FALSE,FALSE
"POLITY","M2","DC_Mand_Revise2","+debt+partisan_cons+factor(period_dummies72)","v2xnp_client",0.686054235610438,0.757905871410532,0.371730978592508,99,FALSE,FALSE
"POLITY","M2","v2xnp_client","+debt+partisan_cons+factor(period_dummies72)","v2xnp_client",-0.494286514535121,0.467191924569722,0.297517146586928,99,FALSE,FALSE
"POLITY","M2","DC_Mand_Revise2:v2xnp_client","+debt+partisan_cons+factor(period_dummies72)","v2xnp_client",2.69211610523762,1.62520597857849,0.106826872462793,99,FALSE,FALSE
"POLITY","M4","DC_Mand_Revise2","+debt+partisan_cons+factor(period_dummies72)","v2xnp_client",0.277645160686015,1.00706817455699,0.783023181380871,254,FALSE,FALSE
"POLITY","M4","v2xnp_client","+debt+partisan_cons+factor(period_dummies72)","v2xnp_client",-0.198366246948027,0.256796949759417,0.440623912027335,254,FALSE,FALSE
"POLITY","M4","DC_Mand_Revise2:v2xnp_client","+debt+partisan_cons+factor(period_dummies72)","v2xnp_client",1.71868042564046,1.52974343873683,0.262368746151185,254,FALSE,FALSE
"POLITY","M1","DC_Mand_Revise2","","v2xnp_regcorr",0.658498913720332,1.00888745648706,0.515448620372592,250,FALSE,FALSE
"POLITY","M1","v2xnp_regcorr","","v2xnp_regcorr",0.0870883873684803,0.241704923281499,0.719376207918638,250,FALSE,FALSE
"POLITY","M1","DC_Mand_Revise2:v2xnp_regcorr","","v2xnp_regcorr",1.02617759892963,1.2707243931063,0.42126455306116,250,FALSE,FALSE
"POLITY","M3","DC_Mand_Revise2","","v2xnp_regcorr",0.683863665152313,0.997514162099885,0.493633755477224,254,FALSE,FALSE
"POLITY","M3","v2xnp_regcorr","","v2xnp_regcorr",0.0974281722010966,0.240184128092061,0.685361548528925,254,FALSE,FALSE
"POLITY","M3","DC_Mand_Revise2:v2xnp_regcorr","","v2xnp_regcorr",1.01328993485351,1.25636595048728,0.420722604078203,254,FALSE,FALSE
"POLITY","M2","DC_Mand_Revise2","+debt+partisan_cons+factor(period_dummies72)","v2xnp_regcorr",0.188629532786685,0.890430341349946,0.83349598796845,100,FALSE,FALSE
"POLITY","M2","v2xnp_regcorr","+debt+partisan_cons+factor(period_dummies72)","v2xnp_regcorr",-0.683504793096526,0.560260159068274,0.230868292242838,100,FALSE,FALSE
"POLITY","M2","DC_Mand_Revise2:v2xnp_regcorr","+debt+partisan_cons+factor(period_dummies72)","v2xnp_regcorr",3.18891780680187,1.71035544902249,0.0709069805784544,100,FALSE,TRUE
"POLITY","M4","DC_Mand_Revise2","+debt+partisan_cons+factor(period_dummies72)","v2xnp_regcorr",0.379750852423804,0.978848186276144,0.698398971122898,254,FALSE,FALSE
"POLITY","M4","v2xnp_regcorr","+debt+partisan_cons+factor(period_dummies72)","v2xnp_regcorr",-0.245091891571153,0.279023167360953,0.380629210609878,254,FALSE,FALSE
"POLITY","M4","DC_Mand_Revise2:v2xnp_regcorr","+debt+partisan_cons+factor(period_dummies72)","v2xnp_regcorr",1.35742765250087,1.25398361364728,0.28014554282748,254,FALSE,FALSE
"POLITY","M1","DC_Mand_Revise2","","v2x_corr",0.799228386837108,1.0415802034726,0.44469746278609,249,FALSE,FALSE
"POLITY","M1","v2x_corr","","v2x_corr",0.144666170310938,0.258141704022555,0.576450629186361,249,FALSE,FALSE
"POLITY","M1","DC_Mand_Revise2:v2x_corr","","v2x_corr",0.813867418424086,1.3265975411697,0.54093885439241,249,FALSE,FALSE
"POLITY","M3","DC_Mand_Revise2","","v2x_corr",0.839839032441075,1.02800301004837,0.414743965993088,254,FALSE,FALSE
"POLITY","M3","v2x_corr","","v2x_corr",0.181363664214498,0.254126183993612,0.476107554017738,254,FALSE,FALSE
"POLITY","M3","DC_Mand_Revise2:v2x_corr","","v2x_corr",0.783603940735067,1.30966250693604,0.550175718699059,254,FALSE,FALSE
"POLITY","M2","DC_Mand_Revise2","+debt+partisan_cons+factor(period_dummies72)","v2x_corr",0.655141886767599,0.624072209484021,0.301221736706583,100,FALSE,FALSE
"POLITY","M2","v2x_corr","+debt+partisan_cons+factor(period_dummies72)","v2x_corr",-0.422254449254203,0.573473463942325,0.46659200549215,100,FALSE,FALSE
"POLITY","M2","DC_Mand_Revise2:v2x_corr","+debt+partisan_cons+factor(period_dummies72)","v2x_corr",2.74292824272422,1.22425325827726,0.0317019326761124,100,TRUE,TRUE
"POLITY","M4","DC_Mand_Revise2","+debt+partisan_cons+factor(period_dummies72)","v2x_corr",0.585614632970838,1.01893231504319,0.56602028087655,254,FALSE,FALSE
"POLITY","M4","v2x_corr","+debt+partisan_cons+factor(period_dummies72)","v2x_corr",-0.0991716983612392,0.288888404399451,0.731689712836701,254,FALSE,FALSE
"POLITY","M4","DC_Mand_Revise2:v2x_corr","+debt+partisan_cons+factor(period_dummies72)","v2x_corr",1.07722459639895,1.32222347755093,0.416065275074972,254,FALSE,FALSE
"POLITY","M1","DC_Mand_Revise2","","v2x_execorr",0.539205699694449,0.914685511316985,0.556856466704604,250,FALSE,FALSE
"POLITY","M1","v2x_execorr","","v2x_execorr",0.0157343738584455,0.242262014940113,0.948345257921551,250,FALSE,FALSE
